,science,name,birth_place,death_place,birth_date,death_date,works,link
798,Физики,Сергей Павлович Кулешов,СССР РСФСР Москва,Россия Москва,1945,2017-12-11,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BB%D0%B5%D1%88%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
799,Физики,Владимир Васильевич Кульба,СССР Россия Россия,,1937-04-17,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BB%D1%8C%D0%B1%D0%B0,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
800,Физики,Юрий Николаевич Кульчин,СССР РСФСР край Находка Приморский,,1953-02-09,,4,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BB%D1%8C%D1%87%D0%B8%D0%BD,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
801,Физики,Леон Нил Купер,США Нью-Йорк,,1930-02-28,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BF%D0%B5%D1%80,_%D0%9B%D0%B5%D0%BE%D0%BD"
802,Физики,Эдуард Алексеевич Кураев,СССР Апшеронск,Россия Дубна,1940-10-17,2014,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%B0%D0%B5%D0%B2,_%D0%AD%D0%B4%D1%83%D0%B0%D1%80%D0%B4_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
803,Физики,Эрнест Курант,Германия Гёттинген,,1920-03-26,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%B0%D0%BD%D1%82,_%D0%AD%D1%80%D0%BD%D0%B5%D1%81%D1%82"
804,Физики,Александр Михайлович Курбатов,Бердск СССР Новосибирская область,Федерация Москва Российская,1949-07-31,2010,4,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%B1%D0%B0%D1%82%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
805,Физики,Георгий Вячеславович Курдюмов,Рыльск империя Российская Курская губерния,Россия Москва,1902,1996-07-06,2,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%B4%D1%8E%D0%BC%D0%BE%D0%B2,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%92%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87"
806,Физики,Сергей Павлович Курдюмов,СССР Москва,СССР Москва,1928-11-18,2004,11,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%B4%D1%8E%D0%BC%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
807,Физики,Фердинанд Курльбаум,Магдебурга Бург,Берлин,1857,1927-07-29,4,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%BB%D1%8C%D0%B1%D0%B0%D1%83%D0%BC,_%D0%A4%D0%B5%D1%80%D0%B4%D0%B8%D0%BD%D0%B0%D0%BD%D0%B4"
