,science,name,birth_place,death_place,birth_date,death_date,works,link
162,Психологи,Виктор Владимирович Знаков,Каунас,,1950-08-21,,5,"https://ru.wikipedia.org/wiki/%D0%97%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
163,Психологи,Иванченко Галина Владимировна,СССР Таганрог,Россия Москва,1965,2009,124,"https://ru.wikipedia.org/wiki/%D0%98%D0%B2%D0%B0%D0%BD%D1%87%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%93%D0%B0%D0%BB%D0%B8%D0%BD%D0%B0_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0"
164,Психологи,Вильгельм Иерузалем,Дрениц,Вена Австрия,1854-10-11,1923-07-15,0,"https://ru.wikipedia.org/wiki/%D0%98%D0%B5%D1%80%D1%83%D0%B7%D0%B0%D0%BB%D0%B5%D0%BC,_%D0%92%D0%B8%D0%BB%D1%8C%D0%B3%D0%B5%D0%BB%D1%8C%D0%BC"
165,Психологи,Чингиз Абильфазович Измайлов,Дербент АССР Дагестанская,Россия Москва,1944-03-26,2011-09-28,75,"https://ru.wikipedia.org/wiki/%D0%98%D0%B7%D0%BC%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2,_%D0%A7%D0%B8%D0%BD%D0%B3%D0%B8%D0%B7_%D0%90%D0%B1%D0%B8%D0%BB%D1%8C%D1%84%D0%B0%D0%B7%D0%BE%D0%B2%D0%B8%D1%87"
166,Психологи,Мирьям Израэль,Уппсала Швеция,Стокгольм Швеция,1920-04-25,1996-11-19,0,"https://ru.wikipedia.org/wiki/%D0%98%D0%B7%D1%80%D0%B0%D1%8D%D0%BB%D1%8C,_%D0%9C%D0%B8%D1%80%D1%8C%D1%8F%D0%BC"
167,Психологи,Дмитрий Дмитриевич Исаев,СССР Ленинград,,1956,,28,"https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%B0%D0%B5%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
168,Психологи,Дмитрий Николаевич Исаев,СССР Россия СССР Россия,СССР Россия СССР Россия,1929-10-25,2014-12-18,0,"https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%B0%D0%B5%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
169,Психологи,Хаяо Каваи,Хёго Сасаяма,Нара Тэнри,1928-06-23,2007-07-19,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B2%D0%B0%D0%B8,_%D0%A5%D0%B0%D1%8F%D0%BE"
170,Психологи,Каган Виктор Ефимович,СССР РСФСР Томск Новосибирская область,,1943,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B3%D0%B0%D0%BD,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%95%D1%84%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
171,Психологи,Спиридон Казанджиев,Севлиево,София Болгария,1882-12-23,1951-05-13,10,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D0%B4%D0%B6%D0%B8%D0%B5%D0%B2,_%D0%A1%D0%BF%D0%B8%D1%80%D0%B8%D0%B4%D0%BE%D0%BD"
172,Психологи,Даниел Канеман,Тель-Авив подмандатная Палестина,,1934,,10,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D0%B5%D0%BC%D0%B0%D0%BD,_%D0%94%D0%B0%D0%BD%D0%B8%D0%B5%D0%BB"
173,Психологи,Герман Карельский,СССР Москва,,1968-07-26,,13,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9,_%D0%93%D0%B5%D1%80%D0%BC%D0%B0%D0%BD_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87"
174,Психологи,Михаил Иванович Каринский,Москва,Субботиха Большая империя Российская Вятская губерния,1840-11-16,1917,25,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
