,science,name,birth_place,death_place,birth_date,death_date,works,link
68,Статистики,Владимир Алексеевич Попов,Вологодская Никольск империя Российская уезд Никольский губерния,Вологодская Никольск империя Российская уезд Никольский губерния,1828,1867,4,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BF%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87_(%D0%BA%D1%80%D0%B0%D0%B5%D0%B2%D0%B5%D0%B4)"
69,Статистики,Владимир Ефимович Постников,Империя Российская,Москва,1844,1908,3,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%81%D1%82%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%95%D1%84%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
70,Статистики,Кальямпуди Радхакришна Рао,Британская Беллари империя Хадагали Индия президентство Мадрасское Ховина,,1920-09-10,,6,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%BE,_%D0%9A%D0%B0%D0%BB%D1%8C%D1%8F%D0%BC%D0%BF%D1%83%D0%B4%D0%B8_%D0%A0%D0%B0%D0%B4%D1%85%D0%B0%D0%BA%D1%80%D0%B8%D1%88%D0%BD%D0%B0"
71,Статистики,Герберт Роббинс,США Пенсильвания Ньюкасл,Нью-Джерси США Принстон,1915-01-12,2001-02-12,5,"https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B1%D0%B1%D0%B8%D0%BD%D1%81,_%D0%93%D0%B5%D1%80%D0%B1%D0%B5%D1%80%D1%82"
72,Статистики,Поликарп Андреевич Русских,Можгинский район Удмуртия,,1892,,0,"https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%B8%D1%85,_%D0%9F%D0%BE%D0%BB%D0%B8%D0%BA%D0%B0%D1%80%D0%BF_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
73,Статистики,Михаил Алексеевич Саблин,Чёбсара,Одинцово,1842,1898,0,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B1%D0%BB%D0%B8%D0%BD,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
74,Статистики,Георгий Петрович Сазонов,Империя Российская,,1857,,9,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B7%D0%BE%D0%BD%D0%BE%D0%B2,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
75,Статистики,Вениамин Петрович Семёнов-Тян-Шанский,Санкт-Петербург империя Российская,СССР РСФСР Ленинград,1870,1942-02-10,9,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2-%D0%A2%D1%8F%D0%BD-%D0%A8%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%92%D0%B5%D0%BD%D0%B8%D0%B0%D0%BC%D0%B8%D0%BD_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
76,Статистики,Дмитрий Петрович Семёнов-Тян-Шанский,Петербург,Петербург,1852,1917,0,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2-%D0%A2%D1%8F%D0%BD-%D0%A8%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
77,Статистики,Иван Иннокентьевич Серебренников,Верхоленский Иркутская Знаменка империя округ Российская Восточно-Сибирское генерал-губернаторство губерния,США,1882,1940,102,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B5%D0%B1%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%98%D0%BD%D0%BD%D0%BE%D0%BA%D0%B5%D0%BD%D1%82%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
78,Статистики,Маргерс Скуениекс,Рига империя Российская,СССР Москва,1886-06-22,1941-07-12,8,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D1%83%D0%B5%D0%BD%D0%B8%D0%B5%D0%BA%D1%81,_%D0%9C%D0%B0%D1%80%D0%B3%D0%B5%D1%80%D1%81"
79,Статистики,Чарльз Эдвард Спирмен,Лондон Великобритания,Лондон Великобритания,1863-09-10,1945-09-17,5,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B8%D1%80%D0%BC%D0%B5%D0%BD,_%D0%A7%D0%B0%D1%80%D0%BB%D1%8C%D0%B7_%D0%AD%D0%B4%D0%B2%D0%B0%D1%80%D0%B4"
80,Статистики,Леонард Джимми Сэвидж,Детройт США Мичиган,США Коннектикут Нью-Хейвен,1917-11-20,1971,4,"https://ru.wikipedia.org/wiki/%D0%A1%D1%8D%D0%B2%D0%B8%D0%B4%D0%B6,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B0%D1%80%D0%B4_%D0%94%D0%B6%D0%B8%D0%BC%D0%BC%D0%B8"
81,Статистики,Александр Степанович Тарачков,Империя Российская,Империя Российская,1819,1870,18,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%80%D0%B0%D1%87%D0%BA%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
82,Статистики,Людвиг Валерианович Тенгоборский,Варшава,Санкт-Петербург империя Российская,1793,1857-03-30,6,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%BD%D0%B3%D0%BE%D0%B1%D0%BE%D1%80%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9B%D1%8E%D0%B4%D0%B2%D0%B8%D0%B3_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
83,Статистики,Тимирязев Дмитрий Аркадьевич,Империя Российская,Санкт-Петербург,1837,1903,0,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%BC%D0%B8%D1%80%D1%8F%D0%B7%D0%B5%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
84,Статистики,Леонард Генри Калеб Типпетт,Лондон Великобритания,Корнуолл Великобритания,1902,1985,0,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%BF%D0%BF%D0%B5%D1%82%D1%82,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B0%D1%80%D0%B4_%D0%93%D0%B5%D0%BD%D1%80%D0%B8_%D0%9A%D0%B0%D0%BB%D0%B5%D0%B1"
